id,photo_num,filename,cloudinary_url,public_id,width,height,bytes
70,2,70_FİLAMİNGO_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219125/alan-art-coffee/eser_70_F%C4%B0LAM%C4%B0NGO_2.jpg,alan-art-coffee/eser_70_FİLAMİNGO_2,3000,4000,1567588
70,3,70_FİLAMİNGO_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219135/alan-art-coffee/eser_70_F%C4%B0LAM%C4%B0NGO_3.jpg,alan-art-coffee/eser_70_FİLAMİNGO_3,3000,4000,1282253
71,1,71_KEDİ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219145/alan-art-coffee/eser_71_KED%C4%B0_1.jpg,alan-art-coffee/eser_71_KEDİ_1,3000,4000,1812856
71,2,71_KEDİ_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219155/alan-art-coffee/eser_71_KED%C4%B0_2.jpg,alan-art-coffee/eser_71_KEDİ_2,3000,4000,1671321
71,3,71_KEDİ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219165/alan-art-coffee/eser_71_KED%C4%B0_3.jpg,alan-art-coffee/eser_71_KEDİ_3,3000,4000,1296146
72,1,72_KUBİST AKIMININA UYGUN KADIN_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219177/alan-art-coffee/eser_72_KUB%C4%B0ST_AKIMININA_UYGUN_KADIN_1.jpg,alan-art-coffee/eser_72_KUBİST_AKIMININA_UYGUN_KADIN_1,3000,4000,1972710
72,2,72_KUBİST AKIMININA UYGUN KADIN_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219188/alan-art-coffee/eser_72_KUB%C4%B0ST_AKIMININA_UYGUN_KADIN_2.jpg,alan-art-coffee/eser_72_KUBİST_AKIMININA_UYGUN_KADIN_2,3000,4000,1814621
72,3,72_KUBİST AKIMININA UYGUN KADIN_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219197/alan-art-coffee/eser_72_KUB%C4%B0ST_AKIMININA_UYGUN_KADIN_3.jpg,alan-art-coffee/eser_72_KUBİST_AKIMININA_UYGUN_KADIN_3,3000,4000,1440586
73,1,73_KARA KEDİ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219209/alan-art-coffee/eser_73_KARA_KED%C4%B0_1.jpg,alan-art-coffee/eser_73_KARA_KEDİ_1,3000,4000,1996678
73,2,73_KARA KEDİ_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219218/alan-art-coffee/eser_73_KARA_KED%C4%B0_2.jpg,alan-art-coffee/eser_73_KARA_KEDİ_2,3000,4000,1347481
73,3,73_KARA KEDİ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219228/alan-art-coffee/eser_73_KARA_KED%C4%B0_3.jpg,alan-art-coffee/eser_73_KARA_KEDİ_3,3000,4000,1099030
74,1,74_RENKLİ BALIK_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219239/alan-art-coffee/eser_74_RENKL%C4%B0_BALIK_1.jpg,alan-art-coffee/eser_74_RENKLİ_BALIK_1,3000,4000,1920083
